date(dd/mm/yy),VSKP,Temperature_1,Wind_Speed_1,weather_code_1,Distance_travelled_1,YLM,Temperature_2,Wind_Speed_2,weather_code_2,Distance_travelled_2,ANV,Temperature_3,Wind_Speed_3,weather_code_3,Distance_travelled_3,SLO,Temperature_4,Wind_Speed_4,weather_code_4,Distance_travelled_4,NDD,Temperature_5,Wind_Speed_5,weather_code_5,Distance_travelled_5,BZA,Temperature_6,Wind_Speed_6,weather_code_6,Distance_travelled_6,WL,Temperature_7,Wind_Speed_7,weather_code_7,Distance_travelled_7,KZJ,Temperature_8,Wind_Speed_8,weather_code_8,Distance_travelled_8,SC,Temperature_9,Wind_Speed_9,weather_code_9,Distance_travelled_9,HYB,Temperature_10,Wind_Speed_10,weather_code_10,Distance_travelled_10
06/08/23,2,30.2,2.8,63,0,12,30.7,4.3,53,58,25,32.4,1.7,51,114,24,31.8,3.5,51,151,29,31.2,3.7,55,224,10,31.5,3.5,1,351,41,27.4,5.1,2,559,24,27.4,5.1,51,569,0,27.4,4,51,701,-15,27.4,4,51,711
07/08/23,2,31.2,2.1,51,0,8,30.7,4.2,51,58,10,31.9,3.5,51,114,24,31.9,3.9,51,151,41,31.2,3.8,51,224,30,32,3.2,51,351,60,27.3,5.1,51,559,15,27.3,5.1,51,569,10,27,4.3,51,701,-16,27,4.3,51,711
08/08/23,0,30.5,2.4,51,0,15,30.7,4,51,58,29,32.4,2.2,55,114,29,31.8,3.3,61,151,73,31.5,3.5,51,224,36,31.4,3.3,51,351,37,27.5,4.6,3,559,19,27.5,4.6,2,569,17,27,3.5,2,701,-1,27,3.5,3,711
09/08/23,1,30.5,2.3,53,0,9,30.6,3.2,51,58,15,31.8,2.2,51,114,23,31.5,2.8,53,151,76,30.9,2.7,51,224,33,31.2,2.7,61,351,30,27.7,3.6,51,559,13,27.7,3.6,51,569,8,26.6,2.7,51,701,-13,26.6,2.7,51,711
10/08/23,0,30.2,2.3,51,0,26,30.3,3,61,58,28,32.1,2.1,55,114,31,31,2.4,51,151,45,30.4,2.6,55,224,15,30.5,2.8,61,351,63,27.7,2.9,51,559,69,27.7,2.9,51,569,51,27.3,2.5,51,701,91,27.3,2.5,51,711
11/08/23,2,30.9,1.6,51,0,8,30.6,2.8,51,58,12,32.6,3.6,51,114,19,31.1,2,53,151,37,30.7,2.8,63,224,2,30.3,1.9,61,351,57,27.8,2.6,51,559,58,27.8,2.6,51,569,7,28.1,2.1,51,701,81,28.1,2.1,51,711
12/08/23,1,30.7,2.2,53,0,15,30.3,3.6,51,58,25,32.3,1.8,53,114,24,29.7,2.5,53,151,47,29.7,3.1,53,224,23,28.6,2,51,351,73,27.3,2.9,51,559,77,27.3,2.9,53,569,41,26.3,1.9,51,701,0,26.3,1.9,51,711
13/08/23,0,30.8,1.9,51,0,34,30.4,3,61,58,37,32.2,2.4,61,114,48,30.9,2.7,61,151,68,30.6,2.7,53,224,41,30.3,2.5,51,351,84,27.6,3.4,51,559,87,27.6,3.4,2,569,52,27.6,2.4,51,701,6,27.6,2.4,2,711
14/08/23,0,29.5,1.1,53,0,22,30,2.3,63,58,37,31.5,1.5,51,114,39,30.7,2.3,51,151,59,30.3,2.5,53,224,16,30.7,2.6,63,351,30,26.7,2.7,61,559,13,26.7,2.7,51,569,8,27.1,2.1,51,701,-3,27.1,2.1,51,711
15/08/23,2,30.4,1.9,53,0,10,30,3.5,61,58,9,32.1,1.9,51,114,20,30.8,2.3,53,151,32,30.3,2.1,61,224,2,30.9,2.5,53,351,31,27,2.8,55,559,0,27,2.8,61,569,0,26.7,2.6,61,701,-16,26.7,2.6,63,711
16/08/23,0,30.5,1.7,55,0,50,29.9,3.7,61,58,54,32,2.6,53,114,58,31,2.5,63,151,66,30.6,2.9,55,224,34,30.9,2.4,51,351,85,27.3,3.3,61,559,40,27.3,3.3,63,569,24,27.2,2.6,61,701,-13,27.2,2.6,61,711
17/08/23,2,29.9,1.6,65,0,13,29.3,3.3,61,58,17,31.2,2.1,63,114,18,29.9,3,61,151,29,29.3,3.2,63,224,3,28.3,1.9,61,351,18,27.3,4.4,63,559,0,27.3,4.4,63,569,0,27.2,2.9,53,701,-14,27.2,2.9,53,711
18/08/23,0,28.4,1.6,63,0,14,27.8,4.3,55,58,16,29.7,3.2,55,114,17,28.9,3.2,61,151,31,27.9,3.4,63,224,18,28.2,2.6,61,351,63,24.5,4,61,559,18,24.5,4,61,569,1,25.6,3.1,53,701,0,25.6,3.1,53,711
19/08/23,0,29,3.1,53,0,15,28.4,5.1,53,58,29,29.7,2.5,53,114,43,28.1,3.9,51,151,56,27.9,3.9,53,224,21,28.1,2.9,53,351,37,22.7,5.3,63,559,0,22.7,5.3,63,569,24,23.8,2.3,51,701,5,23.8,2.3,53,711
20/08/23,1,29,2.4,51,0,12,29.5,3.9,61,58,12,30.8,2.3,51,114,14,30.2,2.7,53,151,31,29.6,2.8,51,224,12,30.4,2,65,351,42,24.6,4.2,51,559,24,24.6,4.2,51,569,30,25.8,2.7,51,701,7,25.8,2.7,51,711
21/08/23,2,30.1,2.1,55,0,16,29.7,3.2,61,58,20,31.1,1.7,61,114,37,30.3,2.1,63,151,42,29.8,2.2,63,224,10,30,2.1,65,351,76,27,3.5,51,559,79,27,3.5,3,569,26,27,2.2,51,701,-9,27,2.2,1,711
22/08/23,1,29.5,2,63,0,24,29.2,3.3,63,58,24,28.8,1.9,63,114,26,30.2,1.9,63,151,30,29.6,2.3,65,224,8,28.6,1.8,63,351,54,27.1,2.7,63,559,10,27.1,2.7,63,569,5,27.3,2,55,701,-4,27.3,2,61,711
23/08/23,3,30.1,2.7,65,0,29,28.7,3.8,63,58,29,29.2,1.5,65,114,31,30.2,2.2,65,151,27,29.3,2.3,63,224,0,29.2,2.3,51,351,0,27.3,3.1,51,559,0,27.3,3.1,51,569,31,27.7,2.3,51,701,0,27.7,2.3,2,711
24/08/23,2,29.4,2.1,51,0,30,28.7,3.4,63,58,32,29.8,1.3,65,114,34,30.2,2.4,55,151,35,29.4,2.4,61,224,3,29.1,1.9,51,351,0,26.9,3.2,51,559,0,26.9,3.2,51,569,0,27.6,2.4,51,701,-5,27.6,2.4,51,711
25/08/23,2,29.1,2.3,63,0,23,29.1,3.3,63,58,24,29.7,2.8,63,114,25,30.9,2.7,65,151,30,30,2.6,63,224,0,29.6,2.5,2,351,33,27.8,3.2,63,559,16,27.8,3.2,63,569,0,28.4,3.1,61,701,10,28.4,3.1,61,711
26/08/23,0,26.8,1.7,65,0,27,27.7,3.1,65,58,29,27.5,2.5,63,114,28,29.4,2.3,61,151,30,28,2.1,65,224,0,28.9,2.3,53,351,19,27,3.2,51,559,2,27,3.2,63,569,0,27.5,2.5,51,701,-16,27.5,2.5,51,711
27/08/23,2,29,2,55,0,24,29.3,3.6,55,58,26,30.7,2,63,114,27,30.2,2.5,51,151,33,28.9,2.4,63,224,66,30.3,2.3,61,351,28,27.6,3.9,63,559,11,27.6,3.9,61,569,6,28,2.9,3,701,-10,28,2.9,3,711
28/08/23,2,30,1.4,65,0,21,30.6,3,55,58,22,31.9,2.7,51,114,23,31,2.6,51,151,27,30,2.6,51,224,15,30.4,2.9,51,351,29,27.3,3.9,53,559,11,27.3,3.9,51,569,33,26.7,2.7,51,701,-7,26.7,2.7,51,711
29/08/23,1,30.2,0.9,53,0,21,30.7,1.6,51,58,19,31.2,1.7,51,114,19,30.8,2.3,51,151,29,30.1,2.4,51,224,19,30.4,2.4,2,351,53,27.2,3,51,559,6,27.2,3,51,569,1,27,2,51,701,-4,27,2,51,711
30/08/23,0,30.9,1.4,51,0,18,30.3,1.2,51,58,22,30.5,1.9,51,114,24,30.8,2.2,51,151,48,30.2,2.3,1,224,17,31.2,2.3,51,351,20,27.7,3.1,51,559,3,27.7,3.1,51,569,41,27.9,2.1,1,701,15,27.9,2.1,51,711
31/08/23,0,30.7,1.1,63,0,20,30.3,1,63,58,26,30.9,0.8,63,114,28,31.5,1.8,63,151,39,30.7,1.8,53,224,1,31.6,1.9,53,351,74,27.6,2.6,51,559,29,27.6,2.6,51,569,30,28.2,1.8,1,701,0,28.2,1.8,1,711
01/09/23,0,30.8,1.9,51,0,13,30.4,1.9,61,58,17,30.4,1.7,63,114,18,31.8,1.6,63,151,23,30.7,1.4,65,224,0,31.3,1.7,51,351,45,28.7,1.7,51,559,0,28.7,1.7,51,569,15,29.1,1.3,63,701,4,29.1,1.3,63,711
02/09/23,3,29.4,2.2,65,0,18,29.8,2.6,65,58,20,30,2.5,65,114,23,30.4,1.7,65,151,22,29.7,2.2,65,224,0,30,1.6,63,351,3,29.1,1.3,63,559,0,29.1,1.3,63,569,0,28.9,1.9,63,701,8,28.9,1.9,63,711
