Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"Jun 29, 2021",Jun,Tue,"2,081.85","2,092.00","2,126.90","2,065.05",1.67M,0.20%,,
"Jun 28, 2021",Jun,Mon,"2,077.75","2,084.00","2,112.45","2,068.40",707.73K,0.43%,,
"Jun 25, 2021",Jun,Fri,"2,068.85","2,084.35","2,088.50","2,053.10",475.82K,-0.20%,,
"Jun 24, 2021",Jun,Thu,"2,072.95","2,098.00","2,098.00","2,066.00",541.51K,-0.26%,,
"Jun 23, 2021",Jun,Wed,"2,078.25","2,102.00","2,111.40","2,072.00",809.62K,-0.23%,,
"Jun 22, 2021",Jun,Tue,"2,083.00","2,100.00","2,128.35","2,075.00",1.29M,0.30%,,
"Jun 21, 2021",Jun,Mon,"2,076.85","2,000.00","2,093.75","1,981.15",1.69M,3.24%,,
"Jun 18, 2021",Jun,Fri,"2,011.70","2,070.25","2,070.25","1,978.65",1.30M,-1.89%,,
"Jun 17, 2021",Jun,Thu,"2,050.40","2,070.00","2,088.95","2,036.40",754.28K,-1.89%,,
"Jun 16, 2021",Jun,Wed,"2,089.95","2,109.45","2,121.95","2,075.30",856.94K,-0.38%,,
"Jun 15, 2021",Jun,Tue,"2,097.95","2,071.00","2,139.85","2,062.00",1.91M,1.63%,,
"Jun 14, 2021",Jun,Mon,"2,064.40","2,089.95","2,092.00","2,025.00",1.00M,-1.40%,,
"Jun 11, 2021",Jun,Fri,"2,093.75","2,115.00","2,132.00","2,081.00",844.06K,-0.60%,,
"Jun 10, 2021",Jun,Thu,"2,106.35","2,093.50","2,121.00","2,051.65",1.80M,1.70%,,
"Jun 09, 2021",Jun,Wed,"2,071.20","2,160.00","2,163.00","2,060.00",2.34M,-3.43%,,
"Jun 08, 2021",Jun,Tue,"2,144.85","2,130.95","2,184.00","2,122.00",6.49M,2.39%,,
"Jun 07, 2021",Jun,Mon,"2,094.80","1,939.00","2,113.85","1,926.70",6.14M,9.01%,,
"Jun 04, 2021",Jun,Fri,"1,921.70","1,937.00","1,937.00","1,913.55",359.62K,-0.01%,,
"Jun 03, 2021",Jun,Thu,"1,921.80","1,928.00","1,948.60","1,916.00",549.95K,0.20%,,
"Jun 02, 2021",Jun,Wed,"1,917.95","1,899.95","1,927.50","1,895.25",576.76K,1.23%,,
"Jun 01, 2021",Jun,Tue,"1,894.60","1,911.80","1,922.65","1,888.00",419.74K,-0.45%,,
"May 31, 2021",May,Mon,"1,903.20","1,909.85","1,919.00","1,897.15",497.16K,0.37%,,
"May 28, 2021",May,Fri,"1,896.25","1,928.00","1,928.35","1,888.85",671.28K,-1.66%,,
