iter	Passed	Remaining
0	2	2968
1	4	2454
2	7	2648
3	10	2558
4	12	2394
5	13	2296
6	15	2237
7	17	2188
8	19	2154
9	21	2121
10	25	2249
11	27	2246
12	29	2218
13	31	2188
14	33	2181
15	34	2152
16	36	2132
17	40	2189
18	42	2193
19	44	2167
20	46	2145
21	47	2126
22	49	2110
23	51	2091
24	53	2074
25	56	2101
26	57	2088
27	60	2113
28	62	2102
29	64	2088
30	66	2070
31	68	2060
32	69	2045
33	73	2082
34	75	2074
35	77	2072
36	79	2061
37	81	2065
38	83	2052
39	84	2039
40	87	2057
41	90	2054
42	91	2043
43	93	2031
44	95	2022
45	97	2012
46	98	2001
47	100	1990
48	103	2009
49	105	2008
50	107	2005
51	109	1997
52	111	1987
53	112	1978
54	114	1971
55	116	1962
56	118	1956
57	121	1975
58	124	1985
59	126	1978
60	128	1972
61	130	1971
62	132	1963
63	133	1959
64	138	1992
65	141	1995
66	142	1988
67	144	1982
68	146	1973
69	147	1964
70	150	1968
71	153	1976
72	155	1970
73	157	1966
74	158	1955
75	160	1947
76	162	1944
77	168	1986
78	170	1986
79	172	1983
80	174	1977
81	175	1969
82	177	1961
83	179	1952
84	180	1946
85	183	1949
86	185	1945
87	186	1935
88	188	1925
89	189	1915
90	191	1910
91	192	1903
92	194	1895
93	195	1887
94	198	1891
95	200	1890
96	202	1882
97	204	1878
98	205	1872
99	207	1864
100	208	1855
101	210	1849
102	211	1844
103	213	1843
104	215	1840
105	217	1835
106	219	1830
107	220	1823
108	222	1816
109	223	1811
110	226	1810
111	227	1804
112	229	1805
113	232	1803
114	233	1797
115	234	1790
116	236	1783
117	237	1776
118	239	1771
119	240	1764
120	242	1758
121	243	1751
122	245	1749
123	247	1747
124	248	1742
125	250	1735
126	251	1729
127	252	1723
128	254	1720
129	256	1715
130	257	1709
131	259	1704
132	261	1703
133	263	1703
134	265	1699
135	266	1696
136	268	1690
137	270	1686
138	271	1681
139	272	1676
140	274	1670
141	275	1665
142	277	1665
143	279	1662
144	280	1656
145	282	1651
146	283	1646
147	285	1642
148	286	1637
149	288	1632
150	289	1626
151	290	1621
152	292	1618
153	294	1617
154	295	1612
155	297	1607
156	298	1603
157	299	1598
158	301	1593
159	302	1589
160	303	1584
161	305	1579
162	306	1574
163	308	1572
164	310	1570
165	311	1567
166	313	1562
167	314	1558
168	316	1554
169	317	1549
170	318	1545
171	320	1541
172	321	1536
173	322	1532
174	325	1532
175	326	1530
176	328	1528
177	330	1525
178	331	1521
179	333	1517
180	334	1513
181	335	1509
182	337	1505
183	338	1500
184	340	1500
185	342	1499
186	344	1495
187	345	1491
188	346	1487
189	348	1483
190	349	1479
191	350	1475
192	351	1471
193	353	1467
194	354	1464
195	357	1466
196	359	1466
197	361	1462
198	362	1459
199	363	1455
200	365	1451
201	366	1448
202	367	1444
203	369	1440
204	370	1437
205	372	1437
206	374	1435
207	376	1433
208	377	1429
209	379	1426
210	380	1422
211	381	1418
212	383	1415
213	384	1411
214	385	1408
215	387	1408
216	390	1408
217	391	1404
218	392	1401
219	394	1398
220	395	1395
221	397	1392
222	398	1388
223	399	1385
224	401	1383
225	404	1383
226	405	1381
227	407	1378
228	408	1376
229	410	1373
230	411	1370
231	412	1366
232	414	1363
233	416	1363
234	418	1361
235	420	1362
236	422	1359
237	424	1357
238	425	1354
239	426	1351
240	428	1348
241	429	1345
242	431	1344
243	433	1343
244	436	1344
245	438	1343
246	440	1341
247	441	1339
248	443	1336
249	444	1333
250	446	1331
251	448	1330
252	450	1329
253	452	1328
254	454	1326
255	455	1325
256	457	1323
257	459	1322
258	461	1321
259	463	1319
260	465	1317
261	467	1317
262	470	1317
263	472	1316
264	473	1314
265	475	1311
266	478	1312
267	479	1309
268	480	1306
269	483	1307
270	485	1306
271	487	1304
272	489	1302
273	490	1300
274	492	1299
275	494	1296
276	495	1293
277	497	1291
278	499	1291
279	501	1290
280	503	1288
281	505	1286
282	506	1284
283	508	1283
284	510	1280
285	511	1277
286	513	1274
287	516	1276
288	518	1275
289	520	1273
290	522	1272
291	523	1270
292	525	1267
293	526	1264
294	528	1261
295	531	1262
296	533	1262
297	534	1259
298	536	1257
299	538	1257
300	540	1254
301	541	1252
302	543	1249
303	544	1246
304	547	1247
305	550	1247
306	552	1246
307	553	1243
308	555	1242
309	557	1240
310	558	1237
311	561	1237
312	563	1237
313	565	1235
314	566	1232
315	584	1265
316	586	1262
317	587	1260
318	588	1257
319	590	1254
320	592	1252
321	594	1252
322	596	1250
323	598	1249
324	600	1247
325	602	1246
326	604	1244
327	606	1242
328	608	1240
329	610	1240
330	613	1239
331	615	1237
332	616	1235
333	618	1233
334	620	1232
335	622	1229
336	624	1228
337	627	1228
338	629	1227
339	631	1225
340	633	1223
341	634	1221
342	637	1220
343	638	1217
344	641	1218
345	644	1218
346	646	1216
347	648	1214
348	650	1213
349	651	1210
350	653	1208
351	655	1207
352	658	1206
353	660	1205
354	662	1203
355	664	1201
356	665	1198
357	666	1196
358	668	1193
359	670	1191
360	673	1192
361	676	1191
362	678	1189
363	679	1187
364	681	1185
365	682	1182
366	684	1180
367	686	1178
368	688	1177
369	690	1176
370	692	1173
371	693	1171
372	695	1169
373	697	1166
374	698	1164
375	700	1162
376	703	1162
377	706	1162
378	707	1159
379	709	1158
380	711	1156
381	713	1153
382	714	1150
383	715	1148
384	717	1146
385	719	1145
386	721	1143
387	723	1141
388	725	1138
389	726	1136
390	728	1134
391	729	1131
392	731	1129
393	732	1126
394	734	1125
395	736	1123
396	738	1121
397	739	1119
398	741	1116
399	742	1113
400	744	1111
401	745	1109
402	747	1106
403	748	1104
404	750	1103
405	752	1101
406	754	1098
407	755	1096
408	757	1093
409	758	1091
410	759	1089
411	761	1086
412	762	1084
413	764	1081
414	766	1080
415	768	1078
416	770	1076
417	771	1074
418	773	1072
419	774	1070
420	776	1067
421	777	1065
422	779	1062
423	780	1060
424	783	1059
425	784	1057
426	785	1054
427	787	1052
428	788	1049
429	790	1047
430	791	1045
431	793	1043
432	794	1040
433	795	1038
434	798	1036
435	799	1034
436	801	1032
437	802	1029
438	804	1027
439	805	1025
440	807	1023
441	808	1020
442	809	1018
443	811	1015
444	812	1013
445	815	1012
446	816	1009
447	817	1007
448	818	1004
449	820	1002
450	821	1000
451	822	997
452	824	995
453	825	992
454	826	990
455	828	988
456	830	987
457	832	984
458	834	984
459	837	982
460	838	980
461	840	978
462	841	976
463	843	974
464	846	973
465	848	971
466	849	969
467	851	967
468	852	965
469	854	963
470	855	960
471	856	958
472	858	956
473	859	953
474	861	952
475	863	951
476	865	948
477	867	946
478	868	944
479	870	942
480	871	940
481	873	938
482	875	936
483	877	935
484	879	933
485	881	931
486	882	929
487	883	927
488	885	925
489	886	922
490	887	920
491	889	918
492	890	915
493	892	914
494	894	912
495	896	910
496	897	908
497	898	905
498	900	903
499	901	901
500	902	899
501	903	896
502	905	894
503	906	892
504	909	891
505	911	889
506	912	887
507	914	885
508	916	883
509	918	882
510	919	880
511	921	878
512	923	876
513	925	875
514	927	873
515	928	871
516	930	869
517	932	867
518	933	865
519	935	863
520	936	861
521	938	859
522	941	858
523	942	856
524	945	855
525	946	852
526	947	850
527	949	848
528	951	846
529	952	844
530	954	842
531	956	841
532	958	840
533	960	838
